review,tokens_join,sentiment_score,sentiment_label
洗头水不错，洗后头发柔软顺滑，618便宜很多………,洗头水 不错 ， 洗后 头发 柔软 顺滑 ， 618 便宜 很多 … … …,0.0765316588374701,0
真的让我很失望,真的 让 失望,0.1562016488867184,0
和图上完全不像,图上 完全 不像,0.4461576432852818,0
感觉还可以，挺流畅的，电量暂时还没彻底放开用过，暂时不知道怎么样,感觉 还 可以 ， 挺 流畅 ， 电量 暂时 还 没 彻底 放开 用过 ， 暂时 知道 怎么样,0.9608055016305412,1
昨天拍的，今天上午就到了，物流超级快，收到后很惊喜，物超所值，快递小哥每次都送到单位，非常感谢您～,昨天 拍 ， 今天上午 到 ， 物流 超级 快 ， 收到 后 惊喜 ， 物超所值 ， 快递 小哥 每次 送到 单位 ， 非常 感谢您 ～,0.9967642490885128,1
第一次在京东买水果！保鲜方式挺好的，水果也不错，只是没有想象中的大。,第一次 京东 买 水果 ！ 保鲜 方式 挺 好 ， 水果 不错 ， 只是 没有 想象 中 大 。,0.9976986316703472,1
货单打开一看吓人吖！一件30码、一件32码！原来是下错单了啦，大两码了这样一来让我怎么穿的好,货单 打开 一看 吓人 吖 ！ 一件 30 码 、 一件 32 码 ！ 原来 下 错单 啦 ， 大 两码 这样一来 让 怎么 穿 好,0.0520425535957602,0
京东配送服务先来说，上午的单子，下午送达，很赞的。是正品，味道和之前用的一样，赞。性价比也很高。好评,京东 配送 服务 先 来说 ， 上午 单子 ， 下午 送达 ， 很赞 。 正品 ， 味道 之前 用 一样 ， 赞 。 性价比 高 。 好评,0.999906165700128,1
京东买比超市便宜，还送货上门！关键是很甜！,京东 买 比 超市 便宜 ， 还 送货上门 ！ 关键 很甜 ！,0.984048352184418,1
无宽带成为最大问题，周边无工商银行成为第二问题。补充点评 2007年1月13日 ： 无可吃的早餐吃成为不可原谅问题。,无 宽带 成为 最大 问题 ， 周边 无 工商银行 成为 第二 问题 。 补充 点评 2007 年 1 月 13 日 ： 无可 吃 早餐 吃 成为 不可 原谅 问题 。,0.0001438680605826,0
物流太慢了，是水果能不能换家快递,物流 太慢 ， 水果 能 不能 换家 快递,0.0712567598936224,0
不错的东西，拿回来，第一感觉就是好东西！包装正规，没有拆封！打开外层纸箱，里面是精美的中包装！拿出电脑，真是超我的想象。东西很漂亮！是大厂货的风范，中规中矩，气派不张扬，自己加了根2g的ddr3，1066的内存！安装的是深度的系统！半个小时全部搞定。家里的ld都说这个本本值！我自已有一个x200，感觉也差不多，！,不错 东西 ， 拿 回来 ， 第一 感觉 就是 好 东西 ！ 包装 正规 ， 没有 拆封 ！ 打开 外层 纸箱 ， 里面 精美 中 包装 ！ 拿出 电脑 ， 真是 超 想象 。 东西 很漂亮 ！ 大厂 货 风范 ， 中规中矩 ， 气派 张扬 ， 自己 加 根 2g ddr3 ， 1066 内存 ！ 安装 深度 系统 ！ 半个 小时 全部 搞定 。 家里 ld 说 这个 本本 值 ！ 自 已有 一个 x200 ， 感觉 差不多 ， ！,0.9999965229747068,1
真的很不错，物流很快的，服务太度也行，口感不错,真的 不错 ， 物流 很快 ， 服务 太度 行 ， 口感 不错,0.9995757588995152,1
购买的码不合适，邮寄邮寄到厂家说没有收到。差评，特差！,购买 码 合适 ， 邮寄 邮寄 到 厂家 说 没有 收到 。 差评 ， 特差 ！,1.5679379278821237e-05,0
环境很好，冰泉泳场的水很清凉干净，是山上流下来的溪水，天神沟探险比较刺激，要走钢丝，过铁索桥，美中不足携程提供的自驾路线不详细，导致我们在三水绕了一个大弯才找到321国道。,环境 好 ， 冰泉 泳场 水 清凉 干净 ， 山上 流下来 溪水 ， 天神 沟 探险 比较 刺激 ， 要 走钢丝 ， 过 铁索桥 ， 美中不足 携程 提供 自驾 路线 详细 ， 导致 我们 三水 绕 一个 大弯才 找到 321 国道 。,0.9999680473159892,1
很不错，还有弹性，物流也很给力！五星好评！,不错 ， 还有 弹性 ， 物流 给 力 ！ 五星 好评 ！,0.9291221406919656,1
经换货后仍然有死屏现象，售后的解释是“与其说是质量问题，不如说是品质问题”，这个解释似乎也合理，只是听着很扎耳，难不成品质问题就该我们消费者买单吗?所有消费者都应该去选择苹果等高顿品牌吗???国产货呀，你让我们情何以堪？或许对于*元的国产机也就只有这样的效果，认栽！！！此评论仅供参考!,经 换货 后 仍然 死 屏 现象 ， 售后 解释 “ 与其说是 质量 问题 ， 不如说是 品质 问题 ” ， 这个 解释 似乎 合理 ， 只是 听 着 扎 耳 ， 难不成 品质 问题 该 我们 消费者 买单 吗 ? 所有 消费者 应该 去 选择 苹果 等 高顿 品牌 吗 ? ? ? 国产货 呀 ， 你 让 我们 情 何以堪 ？ 或许 对于 * 元 国产机 只有 这样 效果 ， 认栽 ！ ！ ！ 此 评论 仅供参考 !,1.0239495250807806e-05,0
"酒店的位置比较偏,周遍没有什么地方可逛的,要去市区还要打车;房间内部感觉不错,就是有点小,服务不错!综合等级,属于中等偏上!","酒店 位置 比较 偏 , 周遍 没有 什么 地方 可逛 , 要 去 市区 还要 打车 ; 房间 内部 感觉 不错 , 就是 有点 小 , 服务 不错 ! 综合 等级 , 属于 中等偏上 !",0.7310644273871262,1
一点姜味都没有，洗了滑油油的，没有控油作用，好失望！能退吗？,一点 姜味 没有 ， 洗 滑 油油的 ， 没有 控油 作用 ， 好 失望 ！ 能 退 吗 ？,0.0140477569863306,0
一直都用这个牌子，生过小孩了头发掉得厉害希望有所改善吧！,一直 用 这个 牌子 ， 生 过 小孩 头发 掉 得 厉害 希望 有所改善 吧 ！,0.1269268795714546,0
很合身，颜色差了一点点，还是可以，不愧是大品牌，包装很好很规范，企业就应该这样，细微之处见真章,合身 ， 颜色 差 一点点 ， 还是 可以 ， 不愧 大 品牌 ， 包装 好 规范 ， 企业 应该 这样 ， 细微 之处 见 真章,0.9979408699059272,1
很臭的一家酒店哦，真是不好，好远,臭 一家 酒店 哦 ， 真是 不好 ， 好远,0.0343392279015654,0
大品牌，套装实惠，希望质量一如既往，到时用过再评价，感谢618感谢jdtv.赞。。。,大 品牌 ， 套装 实惠 ， 希望 质量 一如既往 ， 到 时用 过 再 评价 ， 感谢 618 感谢 jdtv . 赞 。 。 。,0.999409140130114,1
产品一般，价格太贵，京东快递员和客服人员服务态度越来越差。,产品 一般 ， 价格 太贵 ， 京东 快递 员 客服 人员 服务态度 越来越 差 。,0.0009004404494505,0
洗完头、头会痒，刚买回来的时候就发现，包装简陋，本以为是为了省包装，东西是真的，没想到这么差，头还痒、还不如*的,洗完 头 、 头会 痒 ， 刚 买回来 时候 发现 ， 包装 简陋 ， 本 以为 为了 省 包装 ， 东西 真的 ， 没想到 这么 差 ， 头 还 痒 、 还 不如 *,0.00069153526601,0
1、内部装修尚可，但周围环境差，房间小，所以房间价格偏高，不划算。2、双人房间的床只有大约1米宽。感觉很不好，像童床。3、早餐标价竟然56元，而且品种很少。如果房间不包早餐，千万别去，抢钱一样。中餐、午餐均不开，想吃饭，那就顶着太阳往远处找吧。4、最近因为工作原因，跑过很多城市，住过不少酒店，这是偶遇到的惟一一家上网收费的中档酒店（可能是偶孤陋寡闻了）。每天36大元，简直不可理喻。加房费超过400块了，对于这样的房间有点离谱。5、房间空调声音太大，而且效果不好，不是一般的不好。不知道其他房间怎样。6、一个插曲：俺入住时打开房门，过道竟放一铁架，内装一正在运转的压缩机在轰鸣，正好把过道堵上。俺只好把行李放在走廊，电话通知服务员来把它拿走，结果竟然通知了三次、等了10分钟才来人把机器拖走，而且一句道歉的话都没有。7、电视机2-18几乎都是国外频道，日语居多。感觉不爽。补充点评 2007年7月3日 ： 有点笔误：应该是：中餐、晚餐均不开,1 、 内部 装修 尚可 ， 但 周围环境 差 ， 房间 小 ， 所以 房间 价格 偏高 ， 不划算 。 2 、 双人 房间 床 只有 大约 1 米 宽 。 感觉 不好 ， 像 童床 。 3 、 早餐 标价 竟然 56 元 ， 而且 品种 很少 。 如果 房间 不包 早餐 ， 千万别 去 ， 抢钱 一样 。 中餐 、 午餐 均 不开 ， 想 吃饭 ， 那 顶 着 太阳 往 远处 找 吧 。 4 、 最近 因为 工作 原因 ， 跑 过 很多 城市 ， 住 过 不少 酒店 ， 这是 偶遇 到 惟一 一家 上网 收费 中档 酒店 （ 可能 偶 孤陋寡闻 ） 。 每天 36 大元 ， 简直 不可理喻 。 加 房费 超过 400 块 ， 对于 这样 房间 有点 离谱 。 5 、 房间 空调 声音 太 大 ， 而且 效果 不好 ， 不是 一般 不好 。 知道 其他 房间 怎样 。 6 、 一个 插曲 ： 俺 入住 时 打开 房门 ， 过道 竟放 一 铁架 ， 内装 一 正在 运转 压缩机 轰鸣 ， 正好 把 过 道 堵 上 。 俺 只好 把 行李 放在 走廊 ， 电话 通知 服务员 来 把 它 拿走 ， 结果 竟然 通知 三次 、 等 10 分钟 才 来 把 机器 拖走 ， 而且 一句 道歉 的话 没有 。 7 、 电视机 2 - 18 几乎 国外 频道 ， 日语 居多 。 感觉 不爽 。 补充 点评 2007 年 7 月 3 日 ： 有点 笔误 ： 应该 ： 中餐 、 晚餐 均 不开,0.0,0
太失望了 本以为施华蔻很好用 结果换用这款后头皮特别特别痒 还有很多头屑 买的是一个套装 又是家庭装 扔了也很可惜 送了瓶给人 留了一瓶 本想着忍着用完 但现在真是忍无可忍 刚刚刚洗完头 就痒的不行 头皮现在严重受损了 整个人都不舒服 烦躁。现在半夜重新买回原来用开的无硅油欧莱雅洗发水。,太 失望 本 以为 施华蔻 好 用 结果 换用 这款 后 头皮 特别 特别 痒 还有 很多 头屑 买 一个 套装 又 家庭装 扔 可惜 送 瓶 给 留 一瓶 本 想着 忍着 用 完 但 现在 真是 忍无可忍 刚刚 刚 洗完 头 痒 不行 头皮 现在 严重 受损 整个 舒服 烦躁 。 现在 半夜 重新 买 回 原来 用开 无 硅油 欧莱雅 洗发水 。,0.0055493698772619,0
垃圾正中垃圾，布料差码数偏大,垃圾 正中 垃圾 ， 布料 差 码数 偏 大,0.0081808673132477,0
裤子很好 老公也很喜欢 尺码也准 做工也不错 同事也都说很好看 包装也很有心 客服很热情,裤子 好 老公 喜欢 尺码 准 做工 不错 同事 说 好看 包装 有心 客服 热情,0.9975657478816744,1
整体感觉满意，查验了是正品，打游戏还凑合，像素一般，待机也可以,整体 感觉 满意 ， 查验 正品 ， 打游戏 还 凑合 ， 像素 一般 ， 待机 可以,0.9867400862681862,1
一买来就挤不出来洗发液，打开看吸管都是坏的，垃圾产品。,一 买来 挤 出来 洗发液 ， 打开 看 吸管 坏 ， 垃圾 产品 。,0.0013237477820379,0
交通非常方便，娱乐也方便。可是环境太差，太吵。晚上的骚扰电话实在太多。不知道为什么酒店不能隔绝这些骚扰电话。不知道住客姓名的外来电话应该一一阻挡。,交通 非常 方便 ， 娱乐 方便 。 可是 环境 太 差 ， 太吵 。 晚上 骚扰电话 实在 太 多 。 知道 为什么 酒店 不能 隔绝 这些 骚扰电话 。 知道 住客 姓名 外来 电话 应该 一一 阻挡 。,4.535407660322122e-06,0
很差，有10个是磕坏的，剩下的是特别小的！,很差 ， 10 个 磕坏 ， 剩下 特别 小 ！,0.0777907153849688,0
