index,review,tokens_join,true,fold,pred
14047,耳机效果只能说一般，音质也就和普通MP3差不多低音很足，只能说凑合了。铃声也我也不觉得跟大多数评测说的一样糟糕，穿透力很强，音质不错，MP3铃声听起来清晰不糊没有很大的杂音。操控上感觉这种旋转的方式有点累，也许才用几天不熟练，索爱的机器感觉打字上没有NOKIA方便，尤其是在中英文切换上，还有键盘布局大了点，手小的人操作会有点累。电池待机觉得还不错，本身电话和短信就不多，不过在上网时曾发现电池的容量显示飘忽不定，一会黄色显示40%，等不上网了，又绿了到50%，有点糊涂。在USB同步时也同时充电很不错，比IPOD好多了,耳机 效果 只能 说 一般 ， 音质 普通 MP3 差不多 低音 很足 ， 只能 说 凑合 。 铃声 觉得 跟 大多数 评测 说 一样 糟糕 ， 穿透力 很强 ， 音质 不错 ， MP3 铃声 听 起来 清晰 不糊 没有 很大 杂音 。 操控 上 感觉 这种 旋转 方式 有点累 ， 也许 才 用 几天 熟练 ， 索爱 机器 感觉 打字 上 没有 NOKIA 方便 ， 尤其 中英文 切换 上 ， 还有 键盘 布局 大 点 ， 手小 操作 会 有点累 。 电池 待机 觉得 还 不错 ， 本身 电话 短信 多 ， 不过 上网 时 曾 发现 电池 容量 显示 飘忽不定 ， 一会 黄色 显示 40% ， 等 上网 ， 又 绿 到 50% ， 有点 糊涂 。 USB 同步 时 同时 充电 不错 ， 比 IPOD 好多,1,2,0
41387,裤子非常不错，质量好，这个价钱我估计外面绝对买不到这么好的裤子。物流超级快，简直就是说曹操曹操就到。客服态度超级好，有问必答。没说的全5分！！！,裤子 非常 不错 ， 质量 好 ， 这个 价钱 估计 外面 绝对 买不到 这么 好 裤子 。 物流 超级 快 ， 简直 就是说 曹操 曹操就到 。 客服 态度 超级 好 ， 有问必答 。 没说的 全 5 分 ！ ！ ！,1,4,0
46534,裤不错，送货太慢，差评,裤 不错 ， 送货 太慢 ， 差评,1,2,0
31448,假的，洗了感觉不对，头发发紧，味道味道想肥皂书水没有以前用过那种凉爽的感觉。,假 ， 洗 感觉 对 ， 头发 发紧 ， 味道 味道 想 肥皂 书水 没有 以前 用过 那种 凉爽 感觉 。,0,5,1
7715,很好，很信任京东。,好 ， 信任 京东 。,1,5,0
10950,为什么我买完又降价又送东西的 为什么要这样呢 让我以后怎么相信你呢京东君 让我情何以堪 伤心了 难过了 给你个差评吧谁让我伤心呢,为什么 买 完 又 降价 又 送 东西 为什么 要 这样 呢 让 以后 怎么 相信 你 呢 京东 君 让 我情 何以堪 伤心 难过 给你个 差评 吧 谁 让 伤心 呢,1,5,0
20037,发货速度很快，头一天晚上下单，第二天上午收到，包装完好无损。,发货 速度 很快 ， 头 一天 晚上 下单 ， 第二天 上午 收到 ， 包装 完好无损 。,0,1,1
17422,感觉越来越差了，个头也不怎么均匀，感觉没有80大，而且还那么丑！,感觉 越来越 差 ， 个头 不怎么 均匀 ， 感觉 没有 80 大 ， 而且 还 那么 丑 ！,0,2,1
26577,没有使用。就是感觉好小，第一张照片，我放了一个成人正常大小的牙刷对比了一下，大家自己感受吧,没有 使用 。 就是 感觉 好 小 ， 第一张 照片 ， 我放 一个 成人 正常 大小 牙刷 对比 一下 ， 大家 自己 感受 吧,1,5,0
12192,这次在京东购买华为手机失败，想支持一下国产手机我非常失望，包装太简单了，,这次 京东 购买 华为 手机 失败 ， 想 支持 一下 国产手机 非常 失望 ， 包装 太 简单 ，,0,1,1
21709,水果倒是挺新鲜，但是大小差距也太大了，最小的去掉果皮剩下的就剩两口果实了！,水果 倒 挺 新鲜 ， 但是 大小 差距 太大 ， 最小 去掉 果皮 剩下 剩 两口 果实 ！,1,5,0
43114,衣服质量不错，货物发送急时，大小和合适。,衣服 质量 不错 ， 货物 发送 急时 ， 大小 合适 。,0,2,1
10660,一般一般一般一般一般,一般 一般 一般 一般 一般,1,3,0
27844,原本以为盒子会很大的，寄来的时候发现盒子挺小的。    觉得这个套装很实惠，有小瓶子的赠品，出去旅游也挺方便的。    京东送货速度也是很快的，满意,原本 以为 盒子 会 很大 ， 寄来 时候 发现 盒子 挺 小 。 觉得 这个 套装 实惠 ， 小 瓶子 赠品 ， 出去 旅游 挺 方便 。 京东 送货 速度 很快 ， 满意,1,2,0
23336,所谓的大果就是图中我发的拳头那么大。我的手在男人里面还算是偏小的。大家自己比划一下就有概念了，所以老婆很生气，让我给差评。,所谓 大果 就是 图中 我发 拳头 那么 大 。 手 男人 里面 还 算是 偏小 。 大家 自己 比划 一下 概念 ， 所以 老婆 生气 ， 让 给 差评 。,1,1,0
9469,第一次买华为，嗯，也是最后一次买，东西好不好的暂且不论，售后这么差。用了一个礼拜充电器就有问题。表示这辈子再也不会用华为的任何产品了。祝生意兴隆,第一次 买 华为 ， 嗯 ， 最后 一次 买 ， 东西 好不好 暂且 不论 ， 售后 这么 差 。 用 一个 礼拜 充电器 问题 。 表示 这辈子 再也不会 用 华为 任何 产品 。 祝 生意兴隆,1,2,0
55007,酒店位于别墅区内，适合全家人度假。南楼距离主楼比较远，有时感觉不太方便。酒店南楼的SPA环境非常好，推荐。,酒店 位于 别墅区 内 ， 适合 全家人 度假 。 南楼 距离 主楼 比较 远 ， 有时 感觉 不太 方便 。 酒店 南楼 SPA 环境 非常 好 ， 推荐 。,0,5,1
4769,纠结了很久，小米平板3和m3最终选择了这款产品，体验还可以，外放声音很大，带耳机音质也可以，比我的手机好不少，不足之处就是感觉拖动图标不是很灵敏，可能屏幕太滑，另外就是开机键有点太灵敏，多次误触息屏，6.6大促买的价格一六久久，六一促销时虽贵点，但有保护壳，贴膜耳机赠品，还有6期免息，感觉有点亏，京东的节奏把握不住，哈哈,纠结 久 ， 小米 平板 3 m3 最终 选择 这款 产品 ， 体验 还 可以 ， 外放 声音 很大 ， 带 耳机 音质 可以 ， 比 手机 好 不少 ， 不足之处 就是 感觉 拖动 图标 不是 灵敏 ， 可能 屏幕 太滑 ， 另外 就是 开机 键 有点 太 灵敏 ， 多次 误触 息屏 ， 6.6 大促 买 价格 一 六 久久 ， 六一 促销 时 虽 贵点 ， 但 保护 壳 ， 贴膜 耳机 赠品 ， 还有 6 期 免息 ， 感觉 有点 亏 ， 京东 节奏 把握 不住 ， 哈哈,0,4,1
43204,裤子不错，穿了很合身，面料也很好，洗了之后也不会褪色，也没有缩水的问题,裤子 不错 ， 穿 合身 ， 面料 好 ， 洗 之后 不会 褪色 ， 没有 缩水 问题,0,5,1
53592,"好的方面:-位置好,靠近蛇口码头,海上世界旅游休闲区;-设计独特,房间给人家的亲近感,更适合较长时间旅行的停顿,前台别致(两张桌子象银行大堂经理位);待改善的方面:-价格偏贵,直逼五星级;-早餐一般,物无所值.免费注册 网站导航 宾馆索引 服?","好 方面 : - 位置 好 , 靠近 蛇口 码头 , 海上 世界 旅游 休闲 区 ; - 设计 独特 , 房间 给 人家 亲近感 , 更 适合 较长时间 旅行 停顿 , 前台 别致 ( 两张 桌子 象 银行 大堂 经理 位 ) ; 待 改善 方面 : - 价格 偏贵 , 直逼 五星级 ; - 早餐 一般 , 物无所值 . 免费 注册 网站 导航 宾馆 索引 服 ?",1,4,0
42623,"店家很好,发货很快,衣服无色差,我告䜣店家身高和体重后,店家推荐XL码,穿在身上大小合适,下次还会光顾。","店家 好 , 发货 很快 , 衣服 无色差 , 我告 䜣 店家 身高 体重 后 , 店家 推荐 XL 码 , 穿 身上 大小 合适 , 下次 还会 光顾 。",0,2,1
10331,用了段时间才评价，偶尔会卡。还有就是要梦幻西游的时候那个虚拟键盘一直在哪不会消失，挡着游戏都不好操作了。飞得返回下桌面在进游戏过几秒才会消失。,用 段时间 才 评价 ， 偶尔 会 卡 。 还有 就是 要 梦幻 西游 时候 那个 虚拟 键盘 一直 哪 不会 消失 ， 挡 着 游戏 不好 操作 。 飞 得 返回 下 桌面 进 游戏 过 几秒 才 会 消失 。,1,2,0
32143,洗着没特别的感觉 很划算 比双11买的还便宜,洗着 没 特别 感觉 划算 比双 11 买 还 便宜,0,4,1
43689,很好看 哎嘛男票穿着超好看 果然瘦子穿什么都很好看的呢 质量也不赖特地穿了那么久才来评价^_^ 五星好评,好看 哎 嘛 男票 穿着 超 好看 果然 瘦子 穿 什么 好看 呢 质量 赖特 地 穿 那么 久 才 来 评价 ^ _ ^ 五星 好评,0,3,1
8536,华为平板电脑很好用，灵敏度反应好快。我十分喜欢，值到推存大家购买……。,华为 平板 电脑 好 用 ， 灵敏度 反应 好快 。 十分 喜欢 ， 值到 推存 大家 购买 … … 。,0,3,1
46154,面料一般般感觉价格贵了。做工线太差,面料 一般般 感觉 价格 贵 。 做工 线太差,0,5,1
55106,"不错,装潢,床单,摆设,让人感觉很温馨,越来越爱如家了.","不错 , 装潢 , 床单 , 摆设 , 让 感觉 温馨 , 越来越 爱如家 .",1,5,0
29251,买给老婆子的 还不领情 我也是醉了,买 给 老婆子 还 不领情 醉,1,4,0
