index,review,tokens_join,true,fold,pred
7694,苦瓜煎蛋饼都煎糊了,苦瓜 煎蛋 饼 煎 糊,1,1,0
8813,菜品质一般千叶豆腐就小米椒有个味扣肉味太淡肉片厚,菜 品质 一般 千叶 豆腐 小米 椒 个 味 扣肉 味太淡 肉片 厚,1,4,0
8488,一般。不过订餐立减。也就差不多,一般 。 不过 订餐 立减 。 差不多,1,4,0
5248,肘子不如鸡腿好吃太油了,肘子 不如 鸡腿 好吃 太油,1,5,0
5052,就是不辣，辣椒酱啊,就是 不辣 ， 辣椒酱 啊,0,3,1
1085,味道不错，送到的时候还是热的。,味道 不错 ， 送到 时候 还是 热 。,1,1,0
1421,给力，就是速度慢点，需要早定,给力 ， 就是 速度慢 点 ， 需要 早定,1,2,0
6973,"显示的黑椒鸡腿，实际是,翅根,！！！","显示 黑椒 鸡腿 ， 实际 , 翅根 , ！ ！ ！",1,3,0
3621,鸡丁有点儿咸没有在店面吃的好吃有甜味,鸡丁 有点儿 咸 没有 店面 吃 好吃 甜味,1,4,0
1165,"包装好有喜感~满满的都是肉~除了有点干,其他都OK~","包装 好 喜感 ~ 满满的 肉 ~ 除了 有点 干 , 其他 OK ~",0,2,1
10468,等了很久，没关系，毕竟还在约定时间内，可是最让我忍不了的是真的很一般，个人口味吧，反正不和我胃口，我属于嘴挑的那种，石锅拌饭？味儿很不对！！薯条？？？嗯！炸的肯定没有肯德基麦当劳好吃！,等 久 ， 没关系 ， 毕竟 还 约定 时间 内 ， 可是 最 让 忍 不了 真的 一般 ， 个人 口味 吧 ， 反正 胃口 ， 属于 嘴 挑 那种 ， 石锅 拌 饭 ？ 味儿 对 ！ ！ 薯条 ？ ？ ？ 嗯 ！ 炸 肯定 没有 肯德基 麦当劳 好吃 ！,1,3,0
1859,味道还可以，量也挺足的。不过现在是用代金券和支付优惠，如果单论单品价格就比较高了,味道 还 可以 ， 量 挺 足 。 不过 现在 用 代金券 支付 优惠 ， 如果 单论 单品 价格 比较 高,1,5,0
5642,最难吃的外卖之一,最 难吃 外卖 之一,1,2,0
3392,在SOHO500米外的融科望京苦等三小时之后终于等到了！！！,SOHO500 米外 融科 望京 苦 等 三 小时 之后 终于 等到 ！ ！ ！,1,5,0
262,太快了，你是飞过来送餐的吧…,太快 ， 你 飞过来 送餐 吧 …,0,1,1
6642,忍无可忍，在中国电子大厦送这么久,忍无可忍 ， 中国 电子 大厦 送 这么久,1,3,0
8637,跟上次的不一样了,跟 上次 一样,1,5,0
9035,"鸡肉不像鸡肉……,很奇怪","鸡肉 不像 鸡肉 … … , 奇怪",1,2,0
9722,"石锅拌饭真心不好吃,尤其是豆芽菜特别噎嗓子,冷面凑合","石锅 拌 饭 真心 好吃 , 尤其 豆芽菜 特别 噎 嗓子 , 冷面 凑合",1,5,0
845,不错就是洋葱没熟太辣,不错 就是 洋葱 没熟 太辣,1,2,0
11134,不要辣，结果全是辣,不要 辣 ， 结果 全是 辣,1,3,0
11800,迟到了一个多小时,迟到 一个多 小时,1,2,0
4822,送的真慢呢,送 真慢 呢,0,2,1
7470,没有发票，都备注了还是忘,没有 发票 ， 备注 还是 忘,1,4,0
6176,溜肝尖硬的和烤老的板筋似的,溜 肝 尖 硬 烤 老 板筋 似的,1,2,0
89,下雨天，小哥还提前送过来了，好辛苦，好评,下雨天 ， 小哥 还 提前 送过来 ， 好 辛苦 ， 好评,0,1,1
2066,不错！肉好多，能再夹点菜就好了,不错 ！ 肉 好多 ， 能 再 夹 点菜 好,1,4,0
6959,锅包肉不好吃,锅包肉 好吃,1,5,0
1899,晚上果然送的更快，要是能把我定的两个一起送来就更好了，支持支持！赞！,晚上 果然 送 更 快 ， 要是 能 把 我定 两个 一起 送来 更好 ， 支持 支持 ！ 赞 ！,1,1,0
1193,还可以吃着。,还 可以 吃 着 。,1,2,0
