review,char_len,word_count,tokens,tokens_join,sentiment_score,sentiment_label
很快，好吃，味道足，量大,12,1,"['很快', '，', '好吃', '，', '味道', '足', '，', '量', '大']",很快 ， 好吃 ， 味道 足 ， 量 大,0.8760891688304694,1
没有送水没有送水没有送水,12,1,"['没有', '送水', '没有', '送水', '没有', '送水']",没有 送水 没有 送水 没有 送水,0.0794222106902116,0
非常快，态度好。,8,1,"['非常', '快', '，', '态度', '好', '。']",非常 快 ， 态度 好 。,0.7424869101732284,1
方便，快捷，味道可口，快递给力,15,1,"['方便', '，', '快捷', '，', '味道', '可口', '，', '快', '递给', '力']",方便 ， 快捷 ， 味道 可口 ， 快 递给 力,0.9190130085204837,1
菜味道很棒！送餐很及时！,12,1,"['菜', '味道', '很棒', '！', '送餐', '及时', '！']",菜 味道 很棒 ！ 送餐 及时 ！,0.7048183899190684,1
今天师傅是不是手抖了，微辣格外辣！,17,1,"['今天', '师傅', '是不是', '手抖', '，', '微辣', '格外', '辣', '！']",今天 师傅 是不是 手抖 ， 微辣 格外 辣 ！,0.04830295856181399,0
"送餐快,态度也特别好,辛苦啦谢谢",16,1,"['送餐', '快', ',', '态度', '特别', '好', ',', '辛苦', '啦', '谢谢']","送餐 快 , 态度 特别 好 , 辛苦 啦 谢谢",0.9561859757583876,1
超级快就送到了，这么冷的天气骑士们辛苦了。谢谢你们。麻辣香锅依然很好吃。,36,1,"['超级', '快', '送到', '，', '这么', '冷', '天气', '骑士', '们', '辛苦', '。', '谢谢你们', '。', '麻辣', '香锅', '依然', '好吃', '。']",超级 快 送到 ， 这么 冷 天气 骑士 们 辛苦 。 谢谢你们 。 麻辣 香锅 依然 好吃 。,0.885664409760625,1
经过上次晚了2小时，这次超级快，20分钟就送到了……,26,1,"['经过', '上次', '晚', '2', '小时', '，', '这次', '超级', '快', '，', '20', '分钟', '送到', '…', '…']",经过 上次 晚 2 小时 ， 这次 超级 快 ， 20 分钟 送到 … …,0.08462159709416672,0
最后五分钟订的，卖家特别好接单了，谢谢。,20,1,"['最后', '五分钟', '订', '，', '卖家', '特别', '好', '接单', '，', '谢谢', '。']",最后 五分钟 订 ， 卖家 特别 好 接单 ， 谢谢 。,0.2891650692864828,0
量大，好吃，每次点的都够吃两次,15,1,"['量', '大', '，', '好吃', '，', '每次', '点', '够吃', '两次']",量 大 ， 好吃 ， 每次 点 够吃 两次,0.5695173783025725,1
