review,tokens_join,sentiment_score,sentiment_label
每次都是，打电话说餐到了，结果下楼等了很久才到！送餐员就是怕等，让我等很久！！！,每次 ， 打电话 说餐 到 ， 结果 下楼 等 久 才 到 ！ 送 餐员 就是 怕 等 ， 让 等 久 ！ ！ ！,0.051293279659258,0
一个多小时才送到，超级慢，到了东西也凉了，厚厚一层油挂着，根本就没法吃了！！！送餐的人说是不认识路，找了很久，怎么着？地址写得好好的，自己业务不熟路都不认识就成了来晚了的理由了？没天理了，太过分！！再也不会用了！！！,一个多 小时 才 送到 ， 超级 慢 ， 到 东西 凉 ， 厚厚 一层 油挂 着 ， 根本 没法 吃 ！ ！ ！ 送餐 说 认识 路 ， 找 久 ， 怎么着 ？ 地址 写得 好好 ， 自己 业务 熟路 认识 成 来 晚 理由 ？ 没 天理 ， 太过分 ！ ！ 再也不会 用 ！ ！ ！,3.956879972677463e-06,0
太难吃了。,太 难吃 。,0.2733303707351114,0
有点甜...其他都还好。,有点 甜 ... 其他 还好 。,0.8214667880797474,1
水煮肉味道非常好，菜量足，豆腐鲜嫩可口，方便，服务良好。,水 煮肉 味道 非常 好 ， 菜量 足 ， 豆腐 鲜嫩 可口 ， 方便 ， 服务 良好 。,0.9413104459239352,1
"太慢了,说好45分钟,结果一个多小时","太慢 , 说好 45 分钟 , 结果 一个多 小时",0.0491080901182352,0
丽华饭量小了点,丽华 饭量 小 点,0.3881389894600598,0
"口味很不错,但是卤蛋真的很坑,建议别点","口味 不错 , 但是 卤蛋 真的 很坑 , 建议 别点",0.5366758138582177,1
快递小哥很给力！冒雨前来，态度很好！赞！！！！,快递 小哥 给 力 ！ 冒雨 前来 ， 态度 好 ！ 赞 ！ ！ ！ ！,0.7081745744028077,1
只送来了卷饼但是没送粥，打电话一直占线，最起码打了不下十次了，总算通了又让我打另一个电话，又继续不是占线就没人接，终于打通了才把粥给我补上送来，据我下单已经过去快两个小时了,只 送来 卷 饼 但是 没送 粥 ， 打电话 一直 占线 ， 最起码 打 不下 十次 ， 总算 通了 又 让 打 另 一个 电话 ， 又 继续 不是 占线 没人接 ， 终于 打通 才 把 粥 给 补上 送来 ， 据 下单 已经 过去 快 两个 小时,6.25158414147009e-07,0
送菜太慢，过了高峰时段人都走了，一个多小时还没送到，电话取消后，不知怎么退款,送菜 太慢 ， 过 高峰 时段 走 ， 一个多 小时 还 没 送到 ， 电话 取消 后 ， 不知 怎么 退款,0.0007584273936429,0
丸子很嫩，拔丝山药还给配了一袋水，呵呵，好贴心,丸子 很嫩 ， 拔丝 山药 还给 配 一袋 水 ， 呵呵 ， 好 贴心,0.9010556652632872,1
太腻了，口感不如西少爷,太腻 ， 口感 不如 西 少爷,0.9109260276771564,1
感觉味道没有去实体店好吃,感觉 味道 没有 去 实体店 好吃,0.3824783269948104,0
送来是凉的，而且油比较大，吃了连一半都不到，不会再在这儿订第二次了，吃完还得喝杯普洱茶刮油,送来 凉 ， 而且 油 比较 大 ， 吃 连 一半 不到 ， 不会 再 这儿 订 第二次 ， 吃 完 还 得 喝杯 普洱茶 刮油,0.5354712806930303,1
不好吃、都是肥肉,好吃 、 肥肉,0.547301122590685,1
也就是7块钱的卷饼。。,就是 7 块钱 卷 饼 。 。,0.4226731876192403,0
"迟到2小时！,我的午餐送餐员,已经迷失在帝都“仙境”中了。。。眼看午饭是吃不上了","迟到 2 小时 ！ , 午餐 送 餐员 , 已经 迷失 帝都 “ 仙境 ” 中 。 。 。 眼看 午饭 吃不上",0.9116412466128924,1
"本单实际送达时长为39分钟,瞎扯我等了1小时30分钟呢","本单 实际 送达 时长 为 39 分钟 , 瞎扯 等 1 小时 30 分钟 呢",0.0063376786278229,0
