index,review,tokens_join,true,fold,pred
5027,按错了，还没有送到,按错 ， 还 没有 送到,1,2,0
8866,小鸡炖蘑菇很咸，扔了一多半,小鸡 炖 蘑菇 咸 ， 扔 一多半,0,1,1
3912,下次还点！,下次 还点 ！,1,2,0
667,非常地道，就是口有点重，略咸,非常 地道 ， 就是 口 有点 重 ， 略 咸,0,5,1
1382,提醒之后确实没放我不爱吃的东西....良心推荐,提醒 之后 确实 没放 爱 吃 东西 .... 良心 推荐,0,4,1
258,大冷天的，送餐员辛苦了,大 冷天 ， 送 餐员 辛苦,0,4,1
4926,第二次点的飘香肘子等了近俩小时，饼有点凉了不说还特别干，肘子肉做的特别老，还没有刷酱，这样子生意怎么做啊以后,第二次 点 飘香 肘子 等 近 俩 小时 ， 饼 有点 凉 说 还 特别 干 ， 肘子 肉 做 特别 老 ， 还 没有 刷酱 ， 样子 生意 怎么 做 啊 以后,1,2,0
737,送餐员很迅速,送 餐员 迅速,0,5,1
2626,非常的正宗，就是羊杂汤太咸啦,非常 正宗 ， 就是 羊杂 汤太咸 啦,0,4,1
4901,减量了吗，没有咸淡味，菜也很少。,减量 吗 ， 没有 咸淡 味 ， 菜 很少 。,0,3,1
10939,饭菜质量一般般，可选的饮料种类也少,饭菜 质量 一般般 ， 可选 饮料 种类 少,1,5,0
2564,送货神速，多谢吕师傅,送货 神速 ， 多谢 吕 师傅,1,4,0
3141,豆腐脑再多点香菜就好了,豆腐脑 再 多点 香菜 好,1,3,0
699,面和汤分开装的，很用心，送餐也特别快，20分钟就送到了,面和汤 分开 装 ， 用心 ， 送餐 特别 快 ， 20 分钟 送到,1,3,0
2432,这家店的菜吃不腻啊！,这家 店 菜 吃 不腻 啊 ！,0,2,1
8820,有史以来吃过最难吃的菜，没有之一,有史以来 吃 过 最 难吃 菜 ， 没有 之一,0,1,1
10080,您的意见很重要！口味如何？服务怎样？来点评一下吧！,您 意见 重要 ！ 口味 如何 ？ 服务 怎样 ？ 来 点评 一下 吧 ！,0,3,1
9059,啥玩意面包都糊巴了。冰淇淋化了我能理解毕竟是夏天，可是面包烤的又难看又干巴。以后再也不点了。没外婆家一半好吃。,啥 玩意 面包 糊巴 。 冰淇淋 化 能 理解 毕竟 夏天 ， 可是 面包 烤 又 难看 又 干巴 。 以后 再也 不点 。 没 外婆家 一半 好吃 。,1,3,0
6359,东西不错。就是到店里找去了，饺子没有，换的肚丝巨少一两左右，说肉多给了。下次请说明换的有多少量。还有买了三次饺子都没有，既然没有就把图片撤了。,东西 不错 。 就是 到 店里 找 去 ， 饺子 没有 ， 换 肚丝 巨少 一两 左右 ， 说肉 多 给 。 下次 请 说明 换 多 少量 。 还有 买 三次 饺子 没有 ， 既然 没有 把 图片 撤 。,1,1,0
1277,好吃，就是能准时送就好了，早点就早点吧,好吃 ， 就是 能 准时 送 好 ， 早点 早点 吧,0,5,1
3253,比起煎饼，红油抄手味道棒棒的，就是18一份，抄手能多一点就好啦,比起 煎饼 ， 红油 抄手 味道 棒棒 ， 就是 18 一份 ， 抄手 能 多一点 好 啦,1,1,0
8164,我要可乐不加冰！！！为什么送来的可乐还是加冰了！送了一个小时才到，这么热的天，冰也该化了，可是一拿起来还有声音，难道加了半桶冰！,我要 可乐 加冰 ！ ！ ！ 为什么 送来 可乐 还是 加冰 ！ 送 一个 小时 才 到 ， 这么 热 天 ， 冰 该化 ， 可是 一 拿 起来 还有 声音 ， 难道 加 半桶 冰 ！,1,5,0
7285,"加了奶油都不到盖子,什么情况","加 奶油 不到 盖子 , 什么 情况",1,1,0
9636,榴莲只有一点，推荐烘焙工坊,榴莲 只有 一点 ， 推荐 烘焙 工坊,1,1,0
5234,粥盒都烂了，粥全撒出来了,粥 盒 烂 ， 粥 全撒 出来,0,4,1
10230,点的酸辣粉和麻辣凉面。前者没之前的好吃，凉面过麻，客服打电话询问意见时说“因为是麻辣凉面啊”，也是醉了，显然没搞清楚还有个量的问题。偶尔吃一吃还行,点 酸辣粉 麻辣 凉面 。 前者 没 之前 好吃 ， 凉面 过麻 ， 客服 打电话 询问 意见 时说 “ 因为 麻辣 凉面 啊 ” ， 醉 ， 显然 没 搞清楚 还有 个量 问题 。 偶尔 吃 一 吃 还行,0,1,1
3695,已经点了几次了，菜的味道超级正，油也很干净~非常好,已经 点 几次 ， 菜 味道 超级 正 ， 油 干净 ~ 非常 好,0,5,1
8488,一般。不过订餐立减。也就差不多,一般 。 不过 订餐 立减 。 差不多,1,4,0
4542,时间有点慢,时间 有点 慢,0,3,1
3280,很好吃，量又大！,好吃 ， 量 又 大 ！,0,4,1
