review,char_len,word_count,tokens,tokens_join,sentiment_score,sentiment_label
ºÜ¿ì£¬ºÃ³Ô£¬Î¶µÀ×ã£¬Á¿´ó,24,1,"['º', 'Ü', '¿', 'ì', '£', '¬', 'º', 'Ã', '³', 'Ô', '£', '¬', 'Î', '¶', 'µ', 'À', '×', 'ã', '£', '¬', 'Á', '¿', '´', 'ó']",º Ü ¿ ì £ ¬ º Ã ³ Ô £ ¬ Î ¶ µ À × ã £ ¬ Á ¿ ´ ó,0.0819882678353036,0
Ã»ÓÐËÍË®Ã»ÓÐËÍË®Ã»ÓÐËÍË®,24,1,"['Ã', '»', 'Ó', 'Ð', 'Ë', 'Í', 'Ë', '®', 'Ã', '»', 'Ó', 'Ð', 'Ë', 'Í', 'Ë', '®', 'Ã', '»', 'Ó', 'Ð', 'Ë', 'Í', 'Ë', '®']",Ã » Ó Ð Ë Í Ë ® Ã » Ó Ð Ë Í Ë ® Ã » Ó Ð Ë Í Ë ®,0.0819882678353036,0
·Ç³£¿ì£¬Ì¬¶ÈºÃ¡£,16,1,"['·', 'Ç', '³', '£', '¿', 'ì', '£', '¬', 'Ì', '¬', '¶', 'È', 'º', 'Ã', '¡', '£']",· Ç ³ £ ¿ ì £ ¬ Ì ¬ ¶ È º Ã ¡ £,0.2927083653749772,0
·½±ã£¬¿ì½Ý£¬Î¶µÀ¿É¿Ú£¬¿ìµÝ¸øÁ¦,30,1,"['·', '½', '±', 'ã', '£', '¬', '¿', 'ì', '½', 'Ý', '£', '¬', 'Î', '¶', 'µ', 'À', '¿', 'É', '¿', 'Ú', '£', '¬', '¿', 'ì', 'µ', 'Ý', '¸', 'ø', 'Á', '¦']",· ½ ± ã £ ¬ ¿ ì ½ Ý £ ¬ Î ¶ µ À ¿ É ¿ Ú £ ¬ ¿ ì µ Ý ¸ ø Á ¦,0.0868551904775479,0
²ËÎ¶µÀºÜ°ô£¡ËÍ²ÍºÜ¼°Ê±£¡,24,1,"['²', 'Ë', 'Î', '¶', 'µ', 'À', 'º', 'Ü', '°', 'ô', '£', '¡', 'Ë', 'Í', '²', 'Í', 'º', 'Ü', '¼', '°', 'Ê', '±', '£', '¡']",² Ë Î ¶ µ À º Ü ° ô £ ¡ Ë Í ² Í º Ü ¼ ° Ê ± £ ¡,0.0819882678353036,0
½ñÌìÊ¦¸µÊÇ²»ÊÇÊÖ¶¶ÁË£¬Î¢À±¸ñÍâÀ±£¡,34,1,"['½', 'ñ', 'Ì', 'ì', 'Ê', '¦', '¸', 'µ', 'Ê', 'Ç', '²', '»', 'Ê', 'Ç', 'Ê', 'Ö', '¶', '¶', 'Á', 'Ë', '£', '¬', 'Î', '¢', 'À', '±', '¸', 'ñ', 'Í', 'â', 'À', '±', '£', '¡']",½ ñ Ì ì Ê ¦ ¸ µ Ê Ç ² » Ê Ç Ê Ö ¶ ¶ Á Ë £ ¬ Î ¢ À ± ¸ ñ Í â À ± £ ¡,0.0302979247645509,0
"ËÍ²Í¿ì,Ì¬¶ÈÒ²ÌØ±ðºÃ,ÐÁ¿àÀ²Ð»Ð»",30,1,"['Ë', 'Í', '²', 'Í', '¿', 'ì', ',', 'Ì', '¬', '¶', 'È', 'Ò', '²', 'Ì', 'Ø', '±', 'ð', 'º', 'Ã', ',', 'Ð', 'Á', '¿', 'à', 'À', '²', 'Ð', '»', 'Ð', '»']","Ë Í ² Í ¿ ì , Ì ¬ ¶ È Ò ² Ì Ø ± ð º Ã , Ð Á ¿ à À ² Ð » Ð »",0.0554229092727931,0
³¬¼¶¿ì¾ÍËÍµ½ÁË£¬ÕâÃ´ÀäµÄÌìÆøÆïÊ¿ÃÇÐÁ¿àÁË¡£Ð»Ð»ÄãÃÇ¡£ÂéÀ±Ïã¹øÒÀÈ»ºÜºÃ³Ô¡£,72,1,"['³', '¬', '¼', '¶', '¿', 'ì', '¾', 'Í', 'Ë', 'Í', 'µ', '½', 'Á', 'Ë', '£', '¬', 'Õ', 'â', 'Ã', '´', 'À', 'ä', 'µ', 'Ä', 'Ì', 'ì', 'Æ', 'ø', 'Æ', 'ï', 'Ê', '¿', 'Ã', 'Ç', 'Ð', 'Á', '¿', 'à', 'Á', 'Ë', '¡', '£', 'Ð', '»', 'Ð', '»', 'Ä', 'ã', 'Ã', 'Ç', '¡', '£', 'Â', 'é', 'À', '±', 'Ï', 'ã', '¹', 'ø', 'Ò', 'À', 'È', '»', 'º', 'Ü', 'º', 'Ã', '³', 'Ô', '¡', '£']",³ ¬ ¼ ¶ ¿ ì ¾ Í Ë Í µ ½ Á Ë £ ¬ Õ â Ã ´ À ä µ Ä Ì ì Æ ø Æ ï Ê ¿ Ã Ç Ð Á ¿ à Á Ë ¡ £ Ð » Ð » Ä ã Ã Ç ¡ £ Â é À ± Ï ã ¹ ø Ò À È » º Ü º Ã ³ Ô ¡ £,0.0005770772596705,0
¾­¹ýÉÏ´ÎÍíÁË2Ð¡Ê±£¬Õâ´Î³¬¼¶¿ì£¬20·ÖÖÓ¾ÍËÍµ½ÁË¡­¡­,49,1,"['¾', '\xad', '¹', 'ý', 'É', 'Ï', '´', 'Î', 'Í', 'í', 'Á', 'Ë', '2', 'Ð', '¡', 'Ê', '±', '£', '¬', 'Õ', 'â', '´', 'Î', '³', '¬', '¼', '¶', '¿', 'ì', '£', '¬', '20', '·', 'Ö', 'Ö', 'Ó', '¾', 'Í', 'Ë', 'Í', 'µ', '½', 'Á', 'Ë', '¡', '\xad', '¡', '\xad']",¾ ­ ¹ ý É Ï ´ Î Í í Á Ë 2 Ð ¡ Ê ± £ ¬ Õ â ´ Î ³ ¬ ¼ ¶ ¿ ì £ ¬ 20 · Ö Ö Ó ¾ Í Ë Í µ ½ Á Ë ¡ ­ ¡ ­,0.0042179794440355,0
×îºóÎå·ÖÖÓ¶©µÄ£¬Âô¼ÒÌØ±ðºÃ½Óµ¥ÁË£¬Ð»Ð»¡£,40,1,"['×', 'î', 'º', 'ó', 'Î', 'å', '·', 'Ö', 'Ö', 'Ó', '¶', '©', 'µ', 'Ä', '£', '¬', 'Â', 'ô', '¼', 'Ò', 'Ì', 'Ø', '±', 'ð', 'º', 'Ã', '½', 'Ó', 'µ', '¥', 'Á', 'Ë', '£', '¬', 'Ð', '»', 'Ð', '»', '¡', '£']",× î º ó Î å · Ö Ö Ó ¶ © µ Ä £ ¬ Â ô ¼ Ò Ì Ø ± ð º Ã ½ Ó µ ¥ Á Ë £ ¬ Ð » Ð » ¡ £,0.0322040864865172,0
