index,review,tokens_join,true,fold,pred
34734,没有想象中的那么好，都是套路,没有 想象 中 那么 好 ， 套路,1,2,0
42830,裤子版型很好，属于高弹的那种，就是有点偏薄了点，毕竟北方的冬天很冷～,裤子 版型 好 ， 属于 高弹 那种 ， 就是 有点 偏薄 点 ， 毕竟 北方 冬天 冷 ～,0,1,1
35129,东西用了，感觉像假的，没有海飞丝的好，用了后，头发是很顺，但是头发刚刚干就发痒， 还有说送卷发梳的也没送,东西 用 ， 感觉 像 假 ， 没有 海飞丝 好 ， 用 后 ， 头发 顺 ， 但是 头发 刚刚 干 发痒 ， 还有 说 送 卷发 梳 没 送,0,3,1
54128,我住的是套房，房间很好，环境更好。酒店的早餐等的时间太久，他们主要接团，散客的服务跟不上。,住 套房 ， 房间 好 ， 环境 更好 。 酒店 早餐 等 时间 太久 ， 他们 主要 接团 ， 散客 服务 跟不上 。,0,2,1
6783,都不错，就是当天晚上没送到,不错 ， 就是 当天 晚上 没 送到,0,4,1
21273,苹果个头比较小，顶多70#果，口感脆是脆，但发硬发哏，甜度超高，适合能接受齁甜的亲，本人只吃了一个，剩下的估计要放烂了算,苹果 个头 比较 小 ， 顶多 70 # 果 ， 口感 脆 脆 ， 但 发硬 发哏 ， 甜度 超高 ， 适合 能 接受 齁 甜 亲 ， 本人 只 吃 一个 ， 剩下 估计 要放烂 算,0,5,1
27756,满满两瓶，一直在用无患子的，期待生姜的效果。,满满 两瓶 ， 一直 用 无 患子 ， 期待 生姜 效果 。,0,3,1
6570,外观好看 系统也很流畅 物超所值 但还有一些细节做的不好 屏幕玻璃感觉歪歪斜斜像手工贴的 最上面贴近听筒那个位置缺了一大块 很影响手感 再就是用的时候有出现闪屏闪退的情况 再就是手机不能更新 老是弹出来就是更新不了 这些问题希望华为改进一下,外观 好看 系统 流畅 物超所值 但 还有 一些 细节 做 不好 屏幕 玻璃 感觉 歪歪斜斜 像 手工 贴 最 上面 贴近 听筒 那个 位置 缺 一大块 影响 手感 再就是 用 时候 出现 闪屏 闪退 情况 再就是 手机 不能 更新 老是 弹出来 就是 更新 不了 这些 问题 希望 华为 改进 一下,1,2,0
29667,正品亲们。物流还特别快。前一天下单第二天就到了。还有很多旅行装特别好！赶紧买吧！,正品 亲们 。 物流 还 特别 快 。 前一天 下单 第二天 到 。 还有 很多 旅行装 特别 好 ！ 赶紧 买 吧 ！,1,3,0
24472,最糟糕一次购买水果，四个有些小烂，两个袖珍，重量只有1998g。,最 糟糕 一次 购买 水果 ， 四个 有些 小烂 ， 两个 袖珍 ， 重量 只有 1998g 。,1,3,0
25025,这款是所有水果中最难吃的，又小又酸又涩我难道是买到了假的潘苹果，请京东工作人员自己品尝好吃再拿来卖，这么差的苹果也拿来卖，地摊上都比这个好，还有上次买的柚子酸的死人，至今还有三件没敢吃。一个品牌做起来不易，京东别把自己的品牌做死了？,这款 所有 水果 中 最 难吃 ， 又 小 又 酸 又 涩 难道 买 到 假 潘 苹果 ， 请 京东 工作人员 自己 品尝 好吃 再 拿来 卖 ， 这么 差 苹果 拿来 卖 ， 地摊 上 比 这个 好 ， 还有 上次 买 柚子 酸 死 ， 至今 还有 三件 没敢 吃 。 一个 品牌 做 起来 不易 ， 京东 别 把 自己 品牌 做 死 ？,0,2,1
34346,直接上图 大家看图 就知道什么意思了 赠品我删了 同样,直接 上 图 大家 看 图 知道 什么 意思 赠品 删 同样,1,5,0
49448,周六下的单，周一到货，很满意这个笔记本，也感谢京东，下次再来。更感谢其中一个男话务员，帮我询问运货情况，并给我打电话回复,周六 下 单 ， 周一 到货 ， 满意 这个 笔记本 ， 感谢 京东 ， 下次 再 来 。 更 感谢 其中 一个 男 话务员 ， 帮 询问 运货 情况 ， 并 给 打电话 回复,0,2,1
48662,一般般！质量还行,一般般 ！ 质量 还 行,1,5,0
38365,刘某某还最佳Ep？呵呵。可笑！对你们太失望了！保护钓鱼岛、拒绝蒙牛@蒙牛酸酸乳巨星梦想学院,刘 某某 还 最佳 Ep ？ 呵呵 。 可笑 ！ 对 你们 太 失望 ！ 保护 钓鱼岛 、 拒绝 蒙牛 @ 蒙牛 酸酸乳 巨星 梦想 学院,1,5,0
24835,特别差，个小没有烟台苹果的味道。,特别 差 ， 个 小 没有 烟台 苹果 味道 。,0,5,1
30029,物品完好，到货速度快，洗发水挺好,物品 完好 ， 到货 速度 快 ， 洗发水 挺 好,1,1,0
8652,各方面都相当满意！就是觉得反应没手机快，不过不要紧，我只是看看视频而已。,各 方面 相当 满意 ！ 就是 觉得 反应 没 手机 快 ， 不过 不要紧 ， 只是 看看 视频 而已 。,0,5,1
20573,刚从冷库出来，拿到手还是冰凉的。苹果又甜又脆，水分也多。,刚 从 冷库 出来 ， 拿到 手 还是 冰凉 。 苹果 又 甜 又 脆 ， 水分 多 。,1,5,0
10478,"商品还是不错，体验中。挺大的箱子，连个防爆防摔的保护都没有。包装太差。也是京东秒杀买的，1449,刚买1条就掉价，要是商场购物还能找个差价，这让消费者情何以堪？1399 是不是双11就1119了？","商品 还是 不错 ， 体验 中 。 挺大 箱子 ， 连 个 防爆 防 摔 保护 没有 。 包装 太 差 。 京东 秒杀 买 ， 1449 , 刚买 1 条 掉价 ， 要是 商场 购物 还 能 找个 差价 ， 让 消费者 情 何以堪 ？ 1399 是不是 双 11 1119 ？",0,2,1
38025,结论是味全＞蒙牛＞伊利，伊利买的是抹茶味的，太难喝了,结论 味全 ＞ 蒙牛 ＞ 伊利 ， 伊利 买 抹 茶味 ， 太难 喝,0,4,1
58068,一般般 早点不丰富,一般般 早点 丰富,0,5,1
38117,蒙牛笑而不语,蒙牛 笑 而 不语,1,2,0
7011,一7六6买的。低配。用起来反应是真快啊。目前没发现问题。支持下国货！,一 7 六 6 买 。 低配 。 用 起来 反应 真快 啊 。 目前 没 发现 问题 。 支持 下 国货 ！,0,2,1
11061,"买之前期望还是很大，手机就是mate8.用了一段时间，握草，烂爆了，说好的4G运行内存只有3.8G,32G储存可用24G,流畅度和苹果差的不是一条街，有时播放视频都卡，真心不该图便宜买m3.就该加500买Air2.还说和mate8一样的处理器，骗鬼去吧……","买 之前 期望 还是 很大 ， 手机 就是 mate8 . 用 一段时间 ， 握草 ， 烂 爆 ， 说好 4G 运行 内存 只有 3.8 G , 32G 储存 可用 24G , 流畅 度 苹果 差 不是 一条街 ， 有时 播放 视频 卡 ， 真心 不该 图 便宜 买 m3 . 该加 500 买 Air2 . 还 说 mate8 一样 处理器 ， 骗 鬼 去 吧 … …",0,4,1
34827,用完一瓶一点用都木有，,用 完 一瓶 一点 用 木有 ，,1,3,0
51360,要进入自带的BOIS设置安装碟为光驱安装，挑碟，该笔记本只适合DIY及对电脑有中上知识的人群。研究了3小时才成功装成XP,要 进入 自带 BOIS 设置 安装 碟 为 光驱 安装 ， 挑碟 ， 该 笔记本 只 适合 DIY 及 对 电脑 中 上 知识 人群 。 研究 3 小时 才 成功 装成 XP,0,2,1
22584,第一次在京东买到这样的水果，这苹果都不知道烂了几年。买了24个，烂了两个！,第一次 京东 买 到 这样 水果 ， 苹果 知道 烂 几年 。 买 24 个 ， 烂 两个 ！,0,5,1
40862,还好，质量不错的样子，但是夏天估计用不上了,还好 ， 质量 不错 样子 ， 但是 夏天 估计 用不上,1,5,0
48700,贺到什么地方了，怎么这么慢,贺到 什么 地方 ， 怎么 这么 慢,1,4,0
